
1998,2003,2008,code,name
"62,958.00","156,446.00","191,139.00",30086,Jalacingo
4,,129,30110,Mixtla de Altamirano
"2,727.00","5,380.00","12,736.00",30117,Omealca
"151,405.00","199,702.00","260,857.00",30128,Perote
"19,699.00","6,464.00","9,346.00",30129,Platón Sánchez
614,"4,538.00","11,383.00",30147,Soledad Atzompa
"21,678.00","34,370.00","45,714.00",30155,Tantoyuca
"43,786.00","56,139.00","49,408.00",30161,Tempoal
"899,090.00","1,224,418.00","1,472,519.00",30173,Tezonapa
"36,404.00","42,077.00","57,249.00",30183,Tlapacoyan
"4,277.00","13,207.00","9,184.00",30196,Yanga
"1,538.00","1,173.00","1,094.00",30198,Zacualpan
"1,605.00","57,340.00","4,524.00",30200,Zentla
"121,822.00","6,791.00","33,252.00",30201,Zongolica
130,473,"1,024.00",30202,Zontecomatlán de López y Fuentes
275,"1,544.00","2,012.00",30203,Zozocolco de Hidalgo
